auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:c4d160c685d66955,Na4S4Zn2,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na4S4Zn2__ICSD__c4d160c685d66955.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Na2S2Zn1_ICSD_645008,ICSD,"Na,S,Zn",3,10,72,72,oI20,oI20,A2B2C_oI20_72_j_j_a,A2B2C_oI20_72_j_j_a,2.6711,None,"['20141024_00:58:46_GMT-4', '20141026_12:40:27_GMT-4', '20210815_15:26:20_GMT-4']",3.2.11,
aflow:c53f9d90a84df99b,Mn2Na12S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Mn2Na12S8__ICSD__c53f9d90a84df99b.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mn1Na6S4_ICSD_95065,ICSD,"Mn,Na,S",3,22,186,186,hP22,hP22,AB6C4_hP22_186_b_2c_bc,AB6C4_hP22_186_b_2c_bc,1.9269,None,"['20160121_11:12:23_GMT-5', '20160122_12:51:44_GMT-5', '20210816_04:13:06_GMT-4']",3.2.11,
aflow:c6850e14623fd7e1,Na6S6,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na6S6__ICSD__c6850e14623fd7e1.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na2S2_ICSD_73180,ICSD,"Na,S",2,12,189,189,hP12,hP12,AB_hP12_189_fg_eh,AB_hP12_189_fg_eh,0.8573,-0.8318,"['20141102_23:57:14_GMT-5', '20141103_14:22:33_GMT-5', '20210526_01:04:19_GMT-5']",3.2.9,
aflow:c76889894bdeab98,Cu8Na6S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Cu8Na6S8__ICSD__c76889894bdeab98.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cu4Na3S4_ICSD_10004,ICSD,"Cu,Na,S",3,22,55,55,oP22,oP22,A4B3C4_oP22_55_gh_bg_gh,A4B3C4_oP22_55_gh_bg_gh,0,None,"['20140714_17:20:52_GMT-4', '20140715_12:11:49_GMT-4', '20210817_12:42:31_GMT-4']",3.2.11,
aflow:cba92648804e88e8,B6Na6S12,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\B6Na6S12__ICSD__cba92648804e88e8.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/B3Na3S6_ICSD_79613,ICSD,"B,Na,S",3,24,167,167,hR24,hR24,ABC2_hR24_167_e_e_2e,ABC2_hR24_167_e_e_2e,2.5203,-0.779327,"['20140806_20:20:02_GMT-5', '20140808_22:51:44_GMT-5', '20210531_17:15:29_GMT-5']",3.2.9,
aflow:cca3219249f783b7,Na12S14Sn4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na12S14Sn4__ICSD__cca3219249f783b7.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Na6S7Sn2_ICSD_16242,ICSD,"Na,S,Sn",3,30,15,15,mS60,mS60,A6B7C2_mC60_15_ce2f_e3f_f,A6B7C2_mC60_15_ce2f_e3f_f,1.8466,None,"['20140825_02:29:54_GMT-4', '20140829_01:10:22_GMT-4', '20210816_01:57:04_GMT-4']",3.2.11,
aflow:cdd7847fb7e8b974,K4Na4S4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\K4Na4S4__ICSD__cdd7847fb7e8b974.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/K1Na1S1_ICSD_62658,ICSD,"K,Na,S",3,12,62,62,oP12,oP12,ABC_oP12_62_c_c_c,ABC_oP12_62_c_c_c,2.5107,-1.083,"['20141207_12:11:49_GMT-5', '20141207_18:14:34_GMT-5', '20210621_21:36:14_GMT-5']",3.2.9,
aflow:ce7a000b261a7f16,Fe2Na2S4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Fe2Na2S4__ICSD__ce7a000b261a7f16.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Fe1Na1S2_ICSD_37026,ICSD,"Fe,Na,S",3,8,23,23,oI16,oI16,ABC2_oI16_23_ac_e_k,ABC2_oI16_23_ac_e_k,1.0109,None,"['20120923_16:59:09_GMT-4', '20120929_03:10:30_GMT-4', '20210816_01:37:55_GMT-4']",3.2.11,
aflow:ceb8b9f714532db4,Na1S2Y1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na1S2Y1__ICSD__ceb8b9f714532db4.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1S2Y1_ICSD_76543,ICSD,"Na,S,Y",3,4,166,166,hR4,hR4,AB2C_hR4_166_b_c_a,AB2C_hR4_166_b_c_a,2.2786,-1.85561,"['20150105_03:57:56_GMT-5', '20150105_09:06:06_GMT-5', '20210601_02:45:21_GMT-5']",3.2.9,
aflow:d021c3ece6cc6578,As4Na12S12,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\As4Na12S12__ICSD__d021c3ece6cc6578.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1Na3S3_ICSD_645,ICSD,"As,Na,S",3,28,198,198,cP28,cP28,AB3C3_cP28_198_a_3a_b,AB3C3_cP28_198_a_3a_b,2.5164,-0.858353,"['20141209_23:59:10_GMT-5', '20141210_08:37:38_GMT-5', '20210521_23:22:14_GMT-5']",3.2.9,
