descriptor,structure,setting_id,shell_tolerance,min_shell_size,value
framework_na_distance_stability,high_sym_small_cell,6,0.8,0,
framework_poly_distortion,high_sym_small_cell,6,0.8,0,
framework_sharing_topology,high_sym_small_cell,6,0.8,0,
max_bond_length,high_sym_small_cell,6,0.8,0,2.8200000000000003
mean_bond_length,high_sym_small_cell,6,0.8,0,2.82
min_bond_length,high_sym_small_cell,6,0.8,0,2.8199999999999994
na_x_en_diff,high_sym_small_cell,6,0.8,0,2.23
poly_distortion_mean,high_sym_small_cell,6,0.8,0,1.5747844320924207e-16
poly_volume_mean,high_sym_small_cell,6,0.8,0,89.70307199999999
target_bond_center,high_sym_small_cell,6,0.8,0,2.83
a2_max_dist,fractional_occupancy,1,0.6,4,1.6970562748477143
coordination_number_mean,fractional_occupancy,1,0.6,4,4.0
covalency_index,fractional_occupancy,1,0.6,4,0.792997622442975
direction_ratio,fractional_occupancy,1,0.6,4,1.0000000000000002
ellipsoid_oblateness,fractional_occupancy,1,0.6,4,5.376505587124321
framework_bond_rigidity,fractional_occupancy,1,0.6,4,
framework_na_distance_stability,fractional_occupancy,1,0.6,4,
framework_poly_distortion,fractional_occupancy,1,0.6,4,
framework_sharing_topology,fractional_occupancy,1,0.6,4,
max_bond_length,fractional_occupancy,1,0.6,4,1.6970562748477143
mean_bond_length,fractional_occupancy,1,0.6,4,1.697056274847714
min_bond_length,fractional_occupancy,1,0.6,4,1.697056274847714
na_x_en_diff,fractional_occupancy,1,0.6,4,2.51
poly_distortion_mean,fractional_occupancy,1,0.6,4,6.542051911182396e-17
poly_volume_mean,fractional_occupancy,1,0.6,4,33.375815407969675
target_bond_center,fractional_occupancy,1,0.6,4,2.3899999999999997
a2_max_dist,fractional_occupancy,2,0.6,0,1.6970562748477143
coordination_number_mean,fractional_occupancy,2,0.6,0,4.0
covalency_index,fractional_occupancy,2,0.6,0,0.792997622442975
direction_ratio,fractional_occupancy,2,0.6,0,1.0000000000000002
ellipsoid_oblateness,fractional_occupancy,2,0.6,0,5.376505587124321
framework_bond_rigidity,fractional_occupancy,2,0.6,0,
framework_na_distance_stability,fractional_occupancy,2,0.6,0,
framework_poly_distortion,fractional_occupancy,2,0.6,0,
framework_sharing_topology,fractional_occupancy,2,0.6,0,
max_bond_length,fractional_occupancy,2,0.6,0,1.6970562748477143
mean_bond_length,fractional_occupancy,2,0.6,0,1.697056274847714
min_bond_length,fractional_occupancy,2,0.6,0,1.697056274847714
na_x_en_diff,fractional_occupancy,2,0.6,0,2.51
poly_distortion_mean,fractional_occupancy,2,0.6,0,6.542051911182396e-17
poly_volume_mean,fractional_occupancy,2,0.6,0,33.375815407969675
target_bond_center,fractional_occupancy,2,0.6,0,2.3899999999999997
a2_max_dist,fractional_occupancy,3,0.7,4,1.6970562748477143
coordination_number_mean,fractional_occupancy,3,0.7,4,4.0
covalency_index,fractional_occupancy,3,0.7,4,0.792997622442975
direction_ratio,fractional_occupancy,3,0.7,4,1.0000000000000002
ellipsoid_oblateness,fractional_occupancy,3,0.7,4,5.376505587124321
framework_bond_rigidity,fractional_occupancy,3,0.7,4,
framework_na_distance_stability,fractional_occupancy,3,0.7,4,
framework_poly_distortion,fractional_occupancy,3,0.7,4,
framework_sharing_topology,fractional_occupancy,3,0.7,4,
max_bond_length,fractional_occupancy,3,0.7,4,1.6970562748477143
mean_bond_length,fractional_occupancy,3,0.7,4,1.697056274847714
min_bond_length,fractional_occupancy,3,0.7,4,1.697056274847714
na_x_en_diff,fractional_occupancy,3,0.7,4,2.51
poly_distortion_mean,fractional_occupancy,3,0.7,4,6.542051911182396e-17
poly_volume_mean,fractional_occupancy,3,0.7,4,33.375815407969675
target_bond_center,fractional_occupancy,3,0.7,4,2.3899999999999997
a2_max_dist,fractional_occupancy,4,0.7,0,1.6970562748477143
coordination_number_mean,fractional_occupancy,4,0.7,0,4.0
covalency_index,fractional_occupancy,4,0.7,0,0.792997622442975
direction_ratio,fractional_occupancy,4,0.7,0,1.0000000000000002
ellipsoid_oblateness,fractional_occupancy,4,0.7,0,5.376505587124321
framework_bond_rigidity,fractional_occupancy,4,0.7,0,
framework_na_distance_stability,fractional_occupancy,4,0.7,0,
framework_poly_distortion,fractional_occupancy,4,0.7,0,
framework_sharing_topology,fractional_occupancy,4,0.7,0,
max_bond_length,fractional_occupancy,4,0.7,0,1.6970562748477143
mean_bond_length,fractional_occupancy,4,0.7,0,1.697056274847714
min_bond_length,fractional_occupancy,4,0.7,0,1.697056274847714
na_x_en_diff,fractional_occupancy,4,0.7,0,2.51
poly_distortion_mean,fractional_occupancy,4,0.7,0,6.542051911182396e-17
poly_volume_mean,fractional_occupancy,4,0.7,0,33.375815407969675
target_bond_center,fractional_occupancy,4,0.7,0,2.3899999999999997
a2_max_dist,fractional_occupancy,5,0.8,4,1.6970562748477143
coordination_number_mean,fractional_occupancy,5,0.8,4,4.0
covalency_index,fractional_occupancy,5,0.8,4,0.792997622442975
direction_ratio,fractional_occupancy,5,0.8,4,1.0000000000000002
ellipsoid_oblateness,fractional_occupancy,5,0.8,4,5.376505587124321
framework_bond_rigidity,fractional_occupancy,5,0.8,4,
framework_na_distance_stability,fractional_occupancy,5,0.8,4,
framework_poly_distortion,fractional_occupancy,5,0.8,4,
framework_sharing_topology,fractional_occupancy,5,0.8,4,
max_bond_length,fractional_occupancy,5,0.8,4,1.6970562748477143
mean_bond_length,fractional_occupancy,5,0.8,4,1.697056274847714
min_bond_length,fractional_occupancy,5,0.8,4,1.697056274847714
na_x_en_diff,fractional_occupancy,5,0.8,4,2.51
poly_distortion_mean,fractional_occupancy,5,0.8,4,6.542051911182396e-17
poly_volume_mean,fractional_occupancy,5,0.8,4,33.375815407969675
target_bond_center,fractional_occupancy,5,0.8,4,2.3899999999999997
a2_max_dist,fractional_occupancy,6,0.8,0,1.6970562748477143
coordination_number_mean,fractional_occupancy,6,0.8,0,4.0
covalency_index,fractional_occupancy,6,0.8,0,0.792997622442975
direction_ratio,fractional_occupancy,6,0.8,0,1.0000000000000002
ellipsoid_oblateness,fractional_occupancy,6,0.8,0,5.376505587124321
framework_bond_rigidity,fractional_occupancy,6,0.8,0,
framework_na_distance_stability,fractional_occupancy,6,0.8,0,
framework_poly_distortion,fractional_occupancy,6,0.8,0,
framework_sharing_topology,fractional_occupancy,6,0.8,0,
max_bond_length,fractional_occupancy,6,0.8,0,1.6970562748477143
mean_bond_length,fractional_occupancy,6,0.8,0,1.697056274847714
min_bond_length,fractional_occupancy,6,0.8,0,1.697056274847714
na_x_en_diff,fractional_occupancy,6,0.8,0,2.51
poly_distortion_mean,fractional_occupancy,6,0.8,0,6.542051911182396e-17
poly_volume_mean,fractional_occupancy,6,0.8,0,33.375815407969675
target_bond_center,fractional_occupancy,6,0.8,0,2.3899999999999997
a2_max_dist,cn1_na_site,1,0.6,4,0.4800000000000004
coordination_number_mean,cn1_na_site,1,0.6,4,1.0
covalency_index,cn1_na_site,1,0.6,4,0.792997622442975
direction_ratio,cn1_na_site,1,0.6,4,
ellipsoid_oblateness,cn1_na_site,1,0.6,4,
framework_bond_rigidity,cn1_na_site,1,0.6,4,1.1134612334371354
framework_na_distance_stability,cn1_na_site,1,0.6,4,0.0
framework_poly_distortion,cn1_na_site,1,0.6,4,
framework_sharing_topology,cn1_na_site,1,0.6,4,0.0
max_bond_length,cn1_na_site,1,0.6,4,0.4800000000000004
mean_bond_length,cn1_na_site,1,0.6,4,0.4800000000000004
min_bond_length,cn1_na_site,1,0.6,4,0.4800000000000004
na_x_en_diff,cn1_na_site,1,0.6,4,2.51
poly_distortion_mean,cn1_na_site,1,0.6,4,
poly_volume_mean,cn1_na_site,1,0.6,4,286.46172000000024
target_bond_center,cn1_na_site,1,0.6,4,2.42
a2_max_dist,cn1_na_site,2,0.6,0,0.4800000000000004
coordination_number_mean,cn1_na_site,2,0.6,0,1.0
covalency_index,cn1_na_site,2,0.6,0,0.792997622442975
direction_ratio,cn1_na_site,2,0.6,0,
ellipsoid_oblateness,cn1_na_site,2,0.6,0,
framework_bond_rigidity,cn1_na_site,2,0.6,0,1.1134612334371354
framework_na_distance_stability,cn1_na_site,2,0.6,0,0.0
framework_poly_distortion,cn1_na_site,2,0.6,0,
framework_sharing_topology,cn1_na_site,2,0.6,0,0.0
max_bond_length,cn1_na_site,2,0.6,0,0.4800000000000004
mean_bond_length,cn1_na_site,2,0.6,0,0.4800000000000004
min_bond_length,cn1_na_site,2,0.6,0,0.4800000000000004
na_x_en_diff,cn1_na_site,2,0.6,0,2.51
poly_distortion_mean,cn1_na_site,2,0.6,0,
poly_volume_mean,cn1_na_site,2,0.6,0,286.46172000000024
target_bond_center,cn1_na_site,2,0.6,0,2.42
a2_max_dist,cn1_na_site,3,0.7,4,0.4800000000000004
coordination_number_mean,cn1_na_site,3,0.7,4,1.0
covalency_index,cn1_na_site,3,0.7,4,0.792997622442975
direction_ratio,cn1_na_site,3,0.7,4,
ellipsoid_oblateness,cn1_na_site,3,0.7,4,
framework_bond_rigidity,cn1_na_site,3,0.7,4,1.1134612334371354
framework_na_distance_stability,cn1_na_site,3,0.7,4,0.0
framework_poly_distortion,cn1_na_site,3,0.7,4,
framework_sharing_topology,cn1_na_site,3,0.7,4,0.0
max_bond_length,cn1_na_site,3,0.7,4,0.4800000000000004
mean_bond_length,cn1_na_site,3,0.7,4,0.4800000000000004
min_bond_length,cn1_na_site,3,0.7,4,0.4800000000000004
na_x_en_diff,cn1_na_site,3,0.7,4,2.51
poly_distortion_mean,cn1_na_site,3,0.7,4,
poly_volume_mean,cn1_na_site,3,0.7,4,286.46172000000024
target_bond_center,cn1_na_site,3,0.7,4,2.42
a2_max_dist,cn1_na_site,4,0.7,0,0.4800000000000004
coordination_number_mean,cn1_na_site,4,0.7,0,1.0
covalency_index,cn1_na_site,4,0.7,0,0.792997622442975
direction_ratio,cn1_na_site,4,0.7,0,
ellipsoid_oblateness,cn1_na_site,4,0.7,0,
framework_bond_rigidity,cn1_na_site,4,0.7,0,1.1134612334371354
framework_na_distance_stability,cn1_na_site,4,0.7,0,0.0
framework_poly_distortion,cn1_na_site,4,0.7,0,
framework_sharing_topology,cn1_na_site,4,0.7,0,0.0
max_bond_length,cn1_na_site,4,0.7,0,0.4800000000000004
mean_bond_length,cn1_na_site,4,0.7,0,0.4800000000000004
min_bond_length,cn1_na_site,4,0.7,0,0.4800000000000004
na_x_en_diff,cn1_na_site,4,0.7,0,2.51
poly_distortion_mean,cn1_na_site,4,0.7,0,
poly_volume_mean,cn1_na_site,4,0.7,0,286.46172000000024
target_bond_center,cn1_na_site,4,0.7,0,2.42
a2_max_dist,cn1_na_site,5,0.8,4,0.4800000000000004
coordination_number_mean,cn1_na_site,5,0.8,4,1.0
covalency_index,cn1_na_site,5,0.8,4,0.792997622442975
direction_ratio,cn1_na_site,5,0.8,4,
ellipsoid_oblateness,cn1_na_site,5,0.8,4,
framework_bond_rigidity,cn1_na_site,5,0.8,4,1.1134612334371354
framework_na_distance_stability,cn1_na_site,5,0.8,4,0.0
framework_poly_distortion,cn1_na_site,5,0.8,4,
framework_sharing_topology,cn1_na_site,5,0.8,4,0.0
max_bond_length,cn1_na_site,5,0.8,4,0.4800000000000004
mean_bond_length,cn1_na_site,5,0.8,4,0.4800000000000004
min_bond_length,cn1_na_site,5,0.8,4,0.4800000000000004
na_x_en_diff,cn1_na_site,5,0.8,4,2.51
poly_distortion_mean,cn1_na_site,5,0.8,4,
poly_volume_mean,cn1_na_site,5,0.8,4,286.46172000000024
target_bond_center,cn1_na_site,5,0.8,4,2.42
a2_max_dist,cn1_na_site,6,0.8,0,0.4800000000000004
coordination_number_mean,cn1_na_site,6,0.8,0,1.0
covalency_index,cn1_na_site,6,0.8,0,0.792997622442975
direction_ratio,cn1_na_site,6,0.8,0,
ellipsoid_oblateness,cn1_na_site,6,0.8,0,
