auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:0f8b24a8bc8a85ab,C2Na4O6,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C2Na4O6__ICSD__0f8b24a8bc8a85ab.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Na2O3_ICSD_81009,ICSD,"C,Na,O",3,12,194,194,hP12,hP12,AB2C3_hP12_194_d_ac_h,AB2C3_hP12_194_d_ac_h,3.1808,-1.73326,"['20140604_02:26:34_GMT-4', '20140604_12:50:13_GMT-4', '20210831_17:14:30_GMT-4']",3.2.11,
aflow:10bbd5743b01eeae,Na8Se12Te4,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Na8Se12Te4__ICSD__10bbd5743b01eeae.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Na2Se3Te1_ICSD_63011,ICSD,"Na,Se,Te",3,24,15,15,mS48,mS48,A2B3C_mC48_15_2f_3f_f,A2B3C_mC48_15_2f_3f_f,1.1781,-0.636002,"['20160221_16:47:50_GMT-5', '20160302_10:13:06_GMT-5', '20210528_08:24:49_GMT-5']",3.2.9,
aflow:10ecd8298e8dbc83,C2Na4O6,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C2Na4O6__ICSD__10ecd8298e8dbc83.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/C1Na2O3_ICSD_81010,ICSD,"C,Na,O",3,12,194,194,hP12,hP12,AB2C3_hP12_194_c_ad_h,AB2C3_hP12_194_c_ad_h,3.1665,-1.73346,"['20140529_19:11:09_GMT-4', '20140530_06:06:46_GMT-4', '20210831_18:18:46_GMT-4']",3.2.11,
aflow:11680cee88fb245f,C4Na4O8,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C4Na4O8__ICSD__11680cee88fb245f.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/C2Na2O4_ICSD_56906,ICSD,"C,Na,O",3,16,14,14,mP16,mP16,ABC2_mP16_14_e_e_2e,ABC2_mP16_14_e_e_2e,3.3301,-1.55596,"['20141211_11:48:18_GMT-5', '20141211_20:53:21_GMT-5', '20210901_00:58:48_GMT-4']",3.2.11,
aflow:118974151fecd7b9,F18Na6Si3,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\F18Na6Si3__ICSD__118974151fecd7b9.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/F6Na2Si1_ICSD_40917,ICSD,"F,Na,Si",3,27,1,150,aP27,hP27,A6B2C_aP27_1_18a_6a_3a,A6B2C_hP27_150_3g_ef_ad,7.0035,-3.10908,"['20140730_16:22:32_GMT-5', '20140801_22:27:24_GMT-5', '20210525_11:40:13_GMT-5']",3.2.9,
aflow:11a8b678e40269bd,Na2O8S2,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Na2O8S2__ICSD__11a8b678e40269bd.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/Na2O8S2_ICSD_171374,ICSD,"Na,O,S",3,12,2,2,aP12,aP12,AB4C_aP12_2_i_4i_i,AB4C_aP12_2_i_4i_i,3.5316,-1.44425,"['20150120_06:26:01_GMT-5', '20150120_19:43:57_GMT-5', '20210830_22:58:58_GMT-4']",3.2.11,
aflow:12140c6ce8adc168,Cl4H8Na4O20,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Cl4H8Na4O20__ICSD__12140c6ce8adc168.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Cl1H2Na1O5_ICSD_23311,ICSD,"Cl,H,Na,O",4,36,15,15,mS72,mS72,AB2CD5_mC72_15_f_2f_ae_5f,AB2CD5_mC72_15_f_2f_ae_5f,5.2651,-0.732909,"['20140810_20:00:37_GMT-4', '20140812_18:02:12_GMT-4', '20210902_13:43:05_GMT-4']",3.2.11,
aflow:13186dddf1290da1,F2H1Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\F2H1Na1__ICSD__13186dddf1290da1.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/F2H1Na1_ICSD_28380,ICSD,"F,H,Na",3,4,166,166,hR4,hR4,A2BC_hR4_166_c_b_a,A2BC_hR4_166_c_b_a,6.8448,-2.2772,"['20140822_02:44:48_GMT-5', '20140822_04:28:09_GMT-5', '20210531_23:15:44_GMT-5']",3.2.9,
aflow:1354bbef4edd80b3,Cl1Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Cl1Na1__ICSD__1354bbef4edd80b3.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl1Na1_ICSD_60280,ICSD,"Cl,Na",2,2,225,225,cF8,cF8,AB_cF8_225_b_a,AB_cF8_225_b_a,5.0564,-1.83903,"['20140925_07:09:21_GMT-5', '20140925_08:27:53_GMT-5', '20210523_03:06:04_GMT-5']",3.2.9,
aflow:14ac6830e001ffc5,H8Na6O14P4,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\H8Na6O14P4__ICSD__14ac6830e001ffc5.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/H8Na6O14P4_ICSD_79097,ICSD,"H,Na,O,P",4,32,2,2,aP32,aP32,A4B3C7D2_aP32_2_4i_3i_7i_2i,A4B3C7D2_aP32_2_4i_3i_7i_2i,3.5943,-1.68675,"['20161125_05:24:18_GMT-5', '20161128_11:13:02_GMT-5', '20210831_00:52:32_GMT-4']",3.2.11,
